Reg,Regulator,TargetGene,Weight,Module,RegulatorBiotype,TargetBiotype
YEL008C-A_YDL232W,YEL008C-A,YDL232W,0.114955050484466,4,protein_coding,protein_coding
YEL008C-A_YJR151W-A,YEL008C-A,YJR151W-A,0.113012017692144,4,protein_coding,protein_coding
YKL156C-A_snR79,YKL156C-A,snR79,0.167052222180857,4,protein_coding,snoRNA
tV(AAC)O_YEL032C-A,tV(AAC)O,YEL032C-A,0.180637724669338,4,tRNA,protein_coding
tV(AAC)O_snR77,tV(AAC)O,snR77,0.148988591983637,4,tRNA,snoRNA
tV(AAC)O_YDL184C,tV(AAC)O,YDL184C,0.106824947417581,4,tRNA,protein_coding
tV(AAC)O_YMR272W-A,tV(AAC)O,YMR272W-A,0.14615645721969,4,tRNA,protein_coding
tV(AAC)O_snR79,tV(AAC)O,snR79,-0.189532120947329,4,tRNA,snoRNA
YDL184C_tV(AAC)O,YDL184C,tV(AAC)O,0.11049475167206,4,protein_coding,tRNA
YMR272W-A_YEL032C-A,YMR272W-A,YEL032C-A,0.133049522902875,4,protein_coding,protein_coding
YMR272W-A_snR77,YMR272W-A,snR77,0.128498772314865,4,protein_coding,snoRNA
YMR272W-A_tV(AAC)O,YMR272W-A,tV(AAC)O,0.149926151864793,4,protein_coding,tRNA
YJR151W-A_snR77,YJR151W-A,snR77,-0.158089918121619,4,protein_coding,snoRNA
YJR151W-A_YDL232W,YJR151W-A,YDL232W,0.182204277870671,4,protein_coding,protein_coding
YJR151W-A_YEL008C-A,YJR151W-A,YEL008C-A,0.10481799347191,4,protein_coding,protein_coding
YJR151W-A_snR79,YJR151W-A,snR79,0.126508112094576,4,protein_coding,snoRNA
YBR141W-A_YDL232W,YBR141W-A,YDL232W,0.157021632614274,4,protein_coding,protein_coding
snR39_YEL032C-A,snR39,YEL032C-A,0.138645880306065,4,snoRNA,protein_coding
snR39_YDL232W,snR39,YDL232W,0.15345308464936,4,snoRNA,protein_coding
snR39_snR18,snR39,snR18,0.146133059089427,4,snoRNA,snoRNA
snR39_snR87,snR39,snR87,0.127226886310558,4,snoRNA,snoRNA
snR39_YJR151W-A,snR39,YJR151W-A,0.138114029100277,4,snoRNA,protein_coding
snR39_YBR141W-A,snR39,YBR141W-A,0.125818981704422,4,snoRNA,protein_coding
snR39_tR(CCU)J,snR39,tR(CCU)J,0.115023582828242,4,snoRNA,tRNA
snR39_YHL015W-A,snR39,YHL015W-A,0.161548286540308,4,snoRNA,protein_coding
YHL015W-A_snR39,YHL015W-A,snR39,0.164889820223327,4,protein_coding,snoRNA
snR39B_snR79,snR39B,snR79,0.103115690505646,4,snoRNA,snoRNA
snR79_YDL232W,snR79,YDL232W,0.139416841741612,4,snoRNA,protein_coding
snR79_snR76,snR79,snR76,0.104958478601758,4,snoRNA,snoRNA
snR79_YKL156C-A,snR79,YKL156C-A,0.171894068920776,4,snoRNA,protein_coding
snR79_tV(AAC)O,snR79,tV(AAC)O,-0.194341476395938,4,snoRNA,tRNA
snR79_YMR182W-A,snR79,YMR182W-A,0.102547791387185,4,snoRNA,protein_coding
snR79_YJR151W-A,snR79,YJR151W-A,0.121312101747636,4,snoRNA,protein_coding
snR79_snR39B,snR79,snR39B,0.108968812988753,4,snoRNA,snoRNA
YEL032C-A_snR18,YEL032C-A,snR18,0.147638868453357,5,protein_coding,snoRNA
YEL032C-A_tV(AAC)O,YEL032C-A,tV(AAC)O,0.179832917820586,5,protein_coding,tRNA
YEL032C-A_YMR272W-A,YEL032C-A,YMR272W-A,0.121009314097754,5,protein_coding,protein_coding
YEL032C-A_snR39,YEL032C-A,snR39,0.137887259251326,5,protein_coding,snoRNA
snR77_tV(AAC)O,snR77,tV(AAC)O,0.191107849995398,5,snoRNA,tRNA
snR77_YMR272W-A,snR77,YMR272W-A,0.13932556029793,5,snoRNA,protein_coding
snR77_YJR151W-A,snR77,YJR151W-A,-0.138023803689105,5,snoRNA,protein_coding
YDL232W_YKL106C-A,YDL232W,YKL106C-A,0.124148745768044,5,protein_coding,protein_coding
YDL232W_snR18,YDL232W,snR18,0.170980172649272,5,protein_coding,snoRNA
YDL232W_YKL156C-A,YDL232W,YKL156C-A,0.145623062332276,5,protein_coding,protein_coding
YDL232W_snR67,YDL232W,snR67,0.107934426134439,5,protein_coding,snoRNA
YDL232W_YMR182W-A,YDL232W,YMR182W-A,0.153734969746836,5,protein_coding,protein_coding
YDL232W_YJR151W-A,YDL232W,YJR151W-A,0.235893735609834,5,protein_coding,protein_coding
YDL232W_YBR141W-A,YDL232W,YBR141W-A,0.178673969338591,5,protein_coding,protein_coding
YDL232W_snR39,YDL232W,snR39,0.201085369270482,5,protein_coding,snoRNA
YDL232W_YLR299C-A,YDL232W,YLR299C-A,0.104429624169289,5,protein_coding,protein_coding
snR18_YEL032C-A,snR18,YEL032C-A,0.143099340193917,5,snoRNA,protein_coding
snR18_YDL232W,snR18,YDL232W,0.175152757257781,5,snoRNA,protein_coding
snR18_tV(AAC)O,snR18,tV(AAC)O,0.125355068864165,5,snoRNA,tRNA
snR18_snR39,snR18,snR39,0.172049412103885,5,snoRNA,snoRNA
YEL008C-A_snR39B,YEL008C-A,snR39B,0.105127676997028,5,protein_coding,snoRNA
YEL008C-A_snR79,YEL008C-A,snR79,0.126930769472966,5,protein_coding,snoRNA
YKL156C-A_YJR151W-A,YKL156C-A,YJR151W-A,0.119695386092709,5,protein_coding,protein_coding
YKL156C-A_snR79,YKL156C-A,snR79,0.127933369337276,5,protein_coding,snoRNA
tV(AAC)O_YEL032C-A,tV(AAC)O,YEL032C-A,0.18221339451603,5,tRNA,protein_coding
tV(AAC)O_snR77,tV(AAC)O,snR77,0.182513816816918,5,tRNA,snoRNA
tV(AAC)O_snR18,tV(AAC)O,snR18,0.132298407970266,5,tRNA,snoRNA
tV(AAC)O_YDL184C,tV(AAC)O,YDL184C,0.113127859969813,5,tRNA,protein_coding
tV(AAC)O_YMR272W-A,tV(AAC)O,YMR272W-A,0.137841491366701,5,tRNA,protein_coding
tV(AAC)O_snR79,tV(AAC)O,snR79,-0.177898386958048,5,tRNA,snoRNA
YMR272W-A_YEL032C-A,YMR272W-A,YEL032C-A,0.124878256131298,5,protein_coding,protein_coding
YMR272W-A_snR77,YMR272W-A,snR77,0.137692646641152,5,protein_coding,snoRNA
YMR272W-A_tV(AAC)O,YMR272W-A,tV(AAC)O,0.141093729872058,5,protein_coding,tRNA
YMR272W-A_YOR302W,YMR272W-A,YOR302W,0.101815008822043,5,protein_coding,protein_coding
YMR272W-A_YJR151W-A,YMR272W-A,YJR151W-A,-0.118019981744551,5,protein_coding,protein_coding
YPL152W-A_snR18,YPL152W-A,snR18,-0.10093751619798,5,protein_coding,snoRNA
YPL152W-A_snR39B,YPL152W-A,snR39B,0.107486706702842,5,protein_coding,snoRNA
YPL152W-A_snR79,YPL152W-A,snR79,0.113482889328823,5,protein_coding,snoRNA
YMR182W-A_YDL232W,YMR182W-A,YDL232W,0.148383067503852,5,protein_coding,protein_coding
YJR151W-A_snR77,YJR151W-A,snR77,-0.140441749131388,5,protein_coding,snoRNA
YJR151W-A_YDL232W,YJR151W-A,YDL232W,0.237153575899765,5,protein_coding,protein_coding
YJR151W-A_YKL156C-A,YJR151W-A,YKL156C-A,0.126449336633129,5,protein_coding,protein_coding
YJR151W-A_YMR272W-A,YJR151W-A,YMR272W-A,-0.120928654842826,5,protein_coding,protein_coding
YBR141W-A_YDL232W,YBR141W-A,YDL232W,0.184730755324707,5,protein_coding,protein_coding
snR39_YDL232W,snR39,YDL232W,0.210629688473001,5,snoRNA,protein_coding
snR39_snR18,snR39,snR18,0.172256436771327,5,snoRNA,snoRNA
snR39B_YEL008C-A,snR39B,YEL008C-A,0.102669399034127,5,snoRNA,protein_coding
snR39B_YPL152W-A,snR39B,YPL152W-A,0.106497615137477,5,snoRNA,protein_coding
snR39B_snR79,snR39B,snR79,0.159208523324648,5,snoRNA,snoRNA
snR79_YEL008C-A,snR79,YEL008C-A,0.122978956176322,5,snoRNA,protein_coding
snR79_YKL156C-A,snR79,YKL156C-A,0.129479030477439,5,snoRNA,protein_coding
snR79_tV(AAC)O,snR79,tV(AAC)O,-0.179941399177997,5,snoRNA,tRNA
snR79_YPL152W-A,snR79,YPL152W-A,0.113253541374104,5,snoRNA,protein_coding
snR79_snR39B,snR79,snR39B,0.159744331064272,5,snoRNA,snoRNA
YKL106C-A_YDL232W,YKL106C-A,YDL232W,0.118780095518413,6,protein_coding,protein_coding
YKL106C-A_snR18,YKL106C-A,snR18,0.117054572797856,6,protein_coding,snoRNA
YKL106C-A_snR39,YKL106C-A,snR39,0.11364419043167,6,protein_coding,snoRNA
YEL032C-A_YDL232W,YEL032C-A,YDL232W,0.154552924937784,6,protein_coding,protein_coding
YEL032C-A_snR18,YEL032C-A,snR18,0.133704279413843,6,protein_coding,snoRNA
YEL032C-A_snR39,YEL032C-A,snR39,0.140803499920914,6,protein_coding,snoRNA
YDL232W_YKL106C-A,YDL232W,YKL106C-A,0.118292064384971,6,protein_coding,protein_coding
YDL232W_YEL032C-A,YDL232W,YEL032C-A,0.150574396847096,6,protein_coding,protein_coding
YDL232W_snR18,YDL232W,snR18,0.197701933450775,6,protein_coding,snoRNA
YDL232W_tV(AAC)O,YDL232W,tV(AAC)O,0.107469556969156,6,protein_coding,tRNA
YDL232W_YBR141W-A,YDL232W,YBR141W-A,0.104598318329821,6,protein_coding,protein_coding
YDL232W_snR39,YDL232W,snR39,0.200156495081639,6,protein_coding,snoRNA
snR18_YKL106C-A,snR18,YKL106C-A,0.116800902429777,6,snoRNA,protein_coding
snR18_YDL232W,snR18,YDL232W,0.198742442901678,6,snoRNA,protein_coding
snR18_tV(AAC)O,snR18,tV(AAC)O,0.129373643692083,6,snoRNA,tRNA
snR18_snR39,snR18,snR39,0.206599166562072,6,snoRNA,snoRNA
tV(AAC)O_YDL232W,tV(AAC)O,YDL232W,0.112266749340949,6,tRNA,protein_coding
tV(AAC)O_snR18,tV(AAC)O,snR18,0.133663515541965,6,tRNA,snoRNA
tV(AAC)O_snR39,tV(AAC)O,snR39,0.121397089147496,6,tRNA,snoRNA
YDL184C_YJR151W-A,YDL184C,YJR151W-A,0.202039312685172,6,protein_coding,protein_coding
snR67_YJR151W-A,snR67,YJR151W-A,0.497536697403133,6,snoRNA,protein_coding
YJR151W-A_YCR038W-A,YJR151W-A,YCR038W-A,-0.107183638671987,6,protein_coding,protein_coding
YJR151W-A_YEL008C-A,YJR151W-A,YEL008C-A,-0.143969750521585,6,protein_coding,protein_coding
YJR151W-A_YPR160W-A,YJR151W-A,YPR160W-A,0.135527667522022,6,protein_coding,protein_coding
YJR151W-A_snR71,YJR151W-A,snR71,0.104282672811179,6,protein_coding,snoRNA
YJR151W-A_snR66,YJR151W-A,snR66,0.163677334594604,6,protein_coding,snoRNA
YJR151W-A_YOR335W-A,YJR151W-A,YOR335W-A,0.105058481233118,6,protein_coding,protein_coding
YJR151W-A_YDL184C,YJR151W-A,YDL184C,0.205431329993344,6,protein_coding,protein_coding
YJR151W-A_snR75,YJR151W-A,snR75,0.15438737481613,6,protein_coding,snoRNA
YJR151W-A_snR67,YJR151W-A,snR67,0.491125597814043,6,protein_coding,snoRNA
YJR151W-A_snR24,YJR151W-A,snR24,0.15520463805317,6,protein_coding,snoRNA
YJR151W-A_YER053C-A,YJR151W-A,YER053C-A,0.129751188268612,6,protein_coding,protein_coding
YJR151W-A_YLR163W-A,YJR151W-A,YLR163W-A,0.150024978777998,6,protein_coding,protein_coding
YJR151W-A_YKL100W-A,YJR151W-A,YKL100W-A,0.167080265689639,6,protein_coding,protein_coding
YJR151W-A_YHL015W-A,YJR151W-A,YHL015W-A,0.178106018237901,6,protein_coding,protein_coding
YJR151W-A_snR39B,YJR151W-A,snR39B,-0.135011501187709,6,protein_coding,snoRNA
YJR151W-A_YLR154W-F,YJR151W-A,YLR154W-F,0.328164337274035,6,protein_coding,protein_coding
