Reg,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7
snR39_snR62,0.0,0.0198854228252375,0.0201626105979557,0.0281376107165125,0.0,0.0,0.0
snR39B_YDR461W,0.0,0.0145484916747224,0.016287799165485,0.0,0.0,0.0,0.0
snR79_snR73,0.0,0.058082692774155,0.0485158664860029,0.0325721443691249,0.0,0.0,0.0
snR79_snR57,0.0,0.0284498405071098,0.0194106775922581,0.0,0.0,0.0,0.0
snR79_snR76,0.0,0.128086385707431,0.119986575084654,0.104958478601758,0.0993158355503312,0.0,0.0
snR79_YOL109W,0.0,0.0147286308819826,0.0104079130408831,0.0,0.0,0.0109309654517181,0.0
snR79_snR190,0.0,0.0166369422357008,0.0159984789994791,0.0201064176857718,0.0,0.0,0.0
snR79_YBR113W,0.0,0.0199257720483213,0.0192246469274879,0.0,0.0124182870473908,0.0,0.0
snR79_YML009C,0.0,0.033620510740859,0.0311573015349188,0.0,0.0,0.0,0.0
snR79_YGL041C,0.0,0.0129231614328491,0.0118653140797918,0.0116630226458953,0.0,0.0,0.0
snR79_YPR100W,0.0,0.0106315169965352,0.0112754062155063,0.0,0.009794046325071,0.0,0.0
snR79_snR53,0.0,0.0288668510196606,0.040133042961856,0.0429967322308145,0.0,-0.009737349724648,0.0
snR79_snR39B,0.0,0.0902048932730771,0.0977814438284611,0.108968812988753,0.159744331064272,0.0913431129176414,0.0501795785695324
snR79_snR4,0.0,0.0122259348437855,0.0107613885706979,0.0,0.0119691759935625,0.0,0.0
YDL232W_YOR052C,0.0,0.0,0.0115162938995183,0.0104858966968388,0.0,0.0,0.0
